标签,实体,正文
2,"[“猎人B”无人机,苏-57]","F-35是除了具备第五代战斗机的主要特征之外，还有网络作战能力，不过美国目前并没有可以和F-35A所配套的无人机系统，而俄罗斯就不一样了，“猎人B”无人机从研制之初开始就是和苏-57战斗进行配合作战的。
"
2,"[F-15,RF-4E侦察机]","随后，以色列空军继续击落了3架敌机，彻底扭转了F-15在服役之初所被人诟病的不好印象！在此之后，以色列空军依靠F-15又多次在空中巡逻和遭遇战中击落多架敌机，甚至在1981年与RF-4E侦察机相配合，以2枚“麻雀”空空导弹击落了一架叙利亚空军的米格-25。
"
2,"[F-35,F-22]","在多国举行的实战化对抗演习中，F-35在F-22的配合下，面对多国更多数量的3代机、3.5代战机机群，大杀四方，交换比达到15:1左右；而其价格，目前已经降低到了F/A-18E/F“超级大黄蜂”的档次，比台风、F-15X战机更加便宜。
"
2,"[歼-11,轰6]","这一相对速度“优势”，使得轰-6G能与歼-11B更好地进行编队飞行、配合作战。
"
2,"[F-35A,F-15K,KF-16,空中加油机KC-330]","特别是在战时，F-35A将与韩空军主力战机 F-15K、KF-16综合运用，加上空中加油机KC-330的配合，将最大程度发挥战力。
"
2,"[苏-57,“猎人B”无人机]","苏-57战斗的拥有硕大的弹仓结构，而且本身机体就很庞大，如此一来，可以实现超远航程的打击任务，如今配合了“猎人B”无人机系统，这个结合的效果就和F-35A和B-2A类似了。
"
2,"[“海鹞”,AIM-9L“响尾蛇”导弹]","“海鹞”的推重比高达1.23，在5000米以下高度的空战中拥有更好的机动性，再配合能迎头攻击的大离轴角全向AIM-9L“响尾蛇”导弹和超级机动性，海鹞一共击落了22架阿根廷战机，并且毫发无损，海鹞没有一架在作战中损失。
"
2,"[歼-16,歼-20隐形战斗机,歼10B/C多用途战斗机]","目前，歼-16已经成为我空军新质作战力量组成之一，与歼-20隐形战斗机、歼10B/C多用途战斗机互相配合又各司其责，对手再坚强的空防体系也会被它们撕开。
"
2,"[F-35战机,E-2D]","所以，F-35战机即使是有E-2D的配合，也需要突破歼20战机的数次拦截才有把握。
"
2,"[C-130运输机,幻影-2000]","【印度方面使用了C-130J和地面特种部队配合引导幻影2000行动，然而军队素质太差劲导致精密的作战计划变成一场笑柄】【印度预警机居然全程开了应答机飞全程，还将航迹发到了网上……】为了打击印度认为位于巴基斯坦境内的武装分子营地，印度首先派遣了精锐特种部队潜入巴基斯坦，然后印度派出12架幻影-2000战机进行轰炸。
"
2,"[B-52战略轰炸机,B-21]","美国空军装备有76架B-52H古老的战略轰炸机，这是一款可以携带核弹的大型远程打击平台，B-52H在上个世纪50年代诞生，根据美国空军的规划，这款轰炸机将被持续使用到2040年以后，未来将会和B-21这款新一代的隐身战略轰炸机配合使用。
"
2,"[F-22战斗机,B-2轰炸机]","这两个都是隐身飞机，B-2通常在进入高威胁区的时候，F-22和它有一个战术配合，什么叫高威胁区呢？比如说俄罗斯有S-400，苏-35这些对B-2造成威胁，这时候就需要F-22来护航帮助B-2来进行轰炸。
"
2,"[EC-130H,EF-111,EA-6B]","仰视图果然是人不可貌相，海水不可斗量啊！在海湾战争中，美国的EC-130H 配合 EF-111 ，EA-6B 等电子飞机，先在目标区120千米左右对通信设备和雷达系统进行干扰，然后出动战斗机发射反辐射导弹摧毁敌方雷达，最后再由轰炸机实施轰炸，整个过程中，干扰机扮演了不可缺少的角色。
"
2,"[S-75,“红旗-2”]","随后中国先后5次使用S-75和“红旗-2”击落U-2，但是都是使用了非常规操作方式，不仅更改了苏军原有的导弹操作教令，而且每次攻击都是有战斗机的配合。
"
2,"[F-22,F-35B,F-16,F-15K,KF-16战斗机]","如果改为最尖端的战斗机F-22、F-35B，配合现有的F-16，以及韩国空军的F-15K、KF-16战斗机，将把韩美在半岛的空中优势进一步扩大。
"
2,"[F-35战斗机,F-15战斗机]","土耳其和韩国都计划分别发展自己的五代机计划TF-X和KF-X，并准备将F-35A与本土第五代轻型战斗机一起引入，而以色列将仅依靠少量的F-35A战机配合F-15机队进行作战。
"
2,"[AH-64E,APG-78“长弓”毫米波火控雷达,AGM-114L“长弓地狱火”反坦克导弹]","与其前型AH-64D武装直升机一样，印度购买的AH-64E也保留了标志性的APG-78“长弓”毫米波火控雷达，再配合上最多16枚的AGM-114L“长弓地狱火”反坦克导弹后，该型号具备了极强的反装甲、反加固工事等空地打击能力。
"
2,"[F-16,F-35战斗机]","此次打击以军出动数架F-35隐身战斗机，再更多的F-16战斗机配合作战，利用隐身优势骗过叙利亚防空系统，在最关键时刻“从天而降”，和F16战机一道向目标投下大批空地导弹和制导炸弹。
"
2,"[图-160,KH-555]","而图-160的作战半径是7300公里.配合俄罗斯最新的KH-555，有效射程2000多公里。
"
2,"[OH-58“基奥瓦”,AH-64“阿帕奇”武装直升机]","贝尔公司曾经长期为美国陆军提供侦察武装直升机，比如OH-58“基奥瓦”就是该公司研制的一款很成功的侦察武装直升机，配合AH-64“阿帕奇”武装直升机作战，曾经参加过多场战争，表现良好。
"
2,"[F-22战斗机,F-15战斗机]","F-22和F-15已在佛罗里达的廷德尔空军基地（TyndallAirForceBase）完成一些空战配合训练。
"
2,"[F-22战斗机,F-15战斗机]","结果显示，4架F-22与4架F-15配合，可以打击14架模拟敌机，胜算率为41:1。
"
2,"[F-35战斗机,E-2D预警机]","E-2D和F-35C闪电II战斗机相互配合可以让美国海军的战斗力更上一个新的台阶。
"
2,"[F-35战斗机,F-15战斗机]","但无论如何，F-15在未来几十年内仍然将是日本航空自卫队最重要的组成部分，应尽快对其进行升级以与F-35进行配合，而升级F-2战机的优先级应推后。
"
2,"[歼-20,J-16]","最简单的“配合”实际上就是让歼-20打头阵，依靠隐形优势首先出场，清除敌方空中预警机，攻击地面关键预警、防空系统，为歼-16等战机打开一个通道。
"
2,"[歼-10C,歼-16,歼-11]","　　歼-10战斗机　　目前，歼-10C在我军中仍然是一种相当先进的机型，可以说仅次于歼-20战斗机，可以配合歼-16、歼-11等重型战斗机进行作战。
"
2,"[攻击-11,歼-20,歼-16,歼-10]","局座之前讲战斗机、歼轰机的时候就说过，未来有人战斗机和无人机相互配合作战，攻击-11很有可能就会配合歼-20、歼-16、歼-10这些有人战机，伴随这些飞机执行任务。
"
2,"[歼-20,J-16]","战时，歼-16将与歼-20配合，对敌方的预警机造成致命的威胁。
"
2,"[歼-20,霹雳-10空空导弹]","好弹配好机　　霹雳-10E的亮相，让大家不再担心“没有好弹配好机”，该弹先进的战术性能可以让歼-20的矛头更加锐利， 在空战时的攻击性更强、打击距离也更远，再配合歼-20的隐身性能和高机动能力，霹雳-10E会像高手过招时突然甩出的袖箭，隐蔽而致命。
"
2,"[苏-25强击机,T-72坦克,BMP-1/2步兵战车,“达纳”152毫米自行火炮,BM-21火箭炮]","格军兵分三路，在苏-25强击机的配合下，使用T-72坦克、BMP-1/2步兵战车、“达纳”152毫米自行火炮、BM-21火箭炮等重型武器，“陆空协同”分别从南、东、西三个方向突入南奥塞梯首府茨欣瓦利。
"
2,"[F-22战斗机,B-2轰炸机]","但事实上如果没有B-2的配合，F-22并不具备震慑中国弹道导弹的能力。
"
2,"[海基型东海-10导弹,052D导弹驱逐舰,093A核攻击潜艇]","　　【环球军事报道】美国“科技新时代”杂志官方网站3月10日文章称，中国至少拥有数百枚东海-10巡航导弹，空射型东海-10导弹配合轰-6K轰炸机，使解放军空军能够打击远至夏威夷的太平洋目标的能力，而海基型东海-10导弹配备052D导弹驱逐舰和093A核攻击潜艇，能够赋予解放军空军覆盖全球90%陆地面积的打击能力。
"
2,"[J-16,霹雳-10空空导弹]","从相关图片来看，歼-16已经配备了PL-10红外成像格斗空空导弹，PL-10采用了128×128单元器件阵，与R-73的双元红外导引头相比，PL-10的红外成像导引头灵敏度，抗干扰能力，离轴攻击能力更强，配合边条翼及推力矢量喷口，PL-10甚至可以掉头攻击擦肩而过的目标。
"
2,"[歼-20,J-10]","歼-10升级版可有效配合歼-20。
"
2,"[歼-20,J-16]","接受《环球时报》记者采访的中国军事专家表示，歼-16与歼-20配合作战，将充分发挥两者优势。
"
2,"[F-35A,F-15K,KF-16,KC-330]","特别是在战时，F-35A将与韩空军主力战机 F-15K、KF-16综合运用，加上空中加油机KC-330的配合，将最大程度发挥战力。
"
2,"[红旗9,空警2000,空警500预警机]","红旗9负责配合雷达和空警2000/空警500预警机，对敌方F-16和F-117战机进行拦截，红旗12提供空军要地中远程防空，红旗16则为陆军提供野战防空，而红旗7和“陆盾”2000则负责打击低空来袭的敌武装直升机和敌方精确制导弹药。
"
2,"[歼-20,J-16]","相比于与歼-20配合的低配型五代机，中国空军显然更青睐于优势明显的歼-16，作为歼-20的好搭档。
"
2,"[F-22战斗机,F-15战斗机]","F-15高级鹰装备Talon HATE通讯荚舱，与F-22之间进行实时联络，以及显示相同的侦察图像，因此能更好地配合作战。
"
2,"[歼-20,J-15]","至于与弹射型歼-15的配合作战中，舰载版歼-20则可以利用卓越的隐身能力前出侦查，将目标数据发送给后方的大挂载的歼-15，直接发射远射程的对海/地导弹，从而使中国航母攻击半径增大到1000公里以上。
"
2,"[歼-20,J-16]","　　在歼16战机更换为新型的低可探测性涂装后，很大程度降低了RCS反射面积，使歼16战机打击能力得到再一次提升，这样不但可以提供更强的打击能力，还可以更好的配合歼20战机执行作战任务。
"
2,"[歼-20,J-16]","这样看来是不能够将能力完全发挥出来的，但是歼16和歼20进行配合就可以克服这一问题。
"
2,"[EA-6B电子战飞机,“狂风”战斗轰炸机]","◎海湾战争期间的英国皇家空军“狂风”战斗轰炸机2003年美英联军入侵伊拉克行动期间，美国海军的EA-6B电子战飞机和英国皇家空军的“狂风”战斗轰炸机密切配合，在战争初期一马当先，不久便悉数摧毁了伊拉克军队的关键防空系统，为其后美英联军战机进入伊拉克领空实施空袭铺平了道路。
"
2,"[歼-20,Y-20]","因为运20加油机在几年之内装备量都将是比较比较少的，还无法兼顾大量三代机的空中加油需要；同时歼20装备量也比较少，既无法满足中国全疆域防卫需要也无法应对所有重点威胁方向，而如果运20加油机和歼20紧密配合将可以有效的缓解这种矛盾。
"
2,"[歼-20,J-10]","在最新的强军宣传片《护航新时代》还有歼-10C等新型战机，今年中国的歼-10C战机也是驻训高原砺剑雪域，还与歼-20战机等配合进行了战术训练，进行高低搭配协同作战。
"
2,"[歼-20,F-22战斗机]","根据官方报道，在近期某检验性演习中，歼-20和歼-16配合出击，模拟强敌空军的F-22和F-15E，成功突破红方某空防基地由三代机和先进地导组成的完整防御体系，以极其微小的损失，成功完成战役节点打击任务。
"
2,"[图-160,的KH-55巡航导弹]","图-160可携具备隐身能力和可搭载核弹头的KH-55巡航导弹，射程达到2500公里以上，配合图-160的大航程，使其攻击范围更加广阔。
"
2,"[歼-20,J-16]","接受《环球时报》记者采访的中国军事专家表示，歼-16与歼-20配合作战，将充分发挥两者优势。
"
2,"[歼-20,J-15]","由于现在的战机都是集群作战，一旦歼-15D在面对“宙斯盾”军舰时能和歼-20开展配合，歼-15D的效用将发挥到最大，在保证自身不受敌方电子战机的攻击的前提下，歼-15D只需负责对美军舰进行电子雷达干扰强化歼-20在面对“宙斯盾”军舰时的隐身能力，歼-20机群就能趁机利用自身优秀的隐身能力对美军舰集火攻击。
"
2,"[歼10,霹雳10E空空导弹]","歼10也装备了新型霹雳10E空空导弹，配合头盔瞄准具，看一眼敌人就死。
"
2,"[歼-11,轰6]","歼-11继承了苏-27的优异特性，经常配合我国的战神轰6K执行巡航任务。
"
2,"[歼-20,J-16]","未来，歼-16及其电子战改型，可以在获得全方位制电磁权的同时，与歼-20进行配合，成为突入敌方纵深执行第一波次的精确打击任务。
"
2,"[F-35战斗机,B-2轰炸机]","因此，未来的北约组织的联合行动中，可能将会有F-35和B-2的联合协同作战，因此，英美双方觉得有必要提前进行训练与演习，以便熟悉两款机型如何进行协调配合。
"
2,"[歼-11,空警500,轰6]","配合歼-11和空警500，轰六K可能说是宝刀不老，完全可以威慑任何豺狼宵小。
"
